t [min]	4P		3P		2P		1P		0P	
0	0	0	0	0	1	1	0	0	0	0
5	0	0	0	0	0.275718284	0.331650317	0.61162885	0.637722189	0.112652866	0.030627494
10	0	0	0	0	0.053580845	0.063793638	0.744085798	0.795864498	0.202333357	0.140341864
15	0	0	0	0	0.013578252	0.011958372	0.759544852	0.813190699	0.226876896	0.174850928
20	0	0	0	0	0	0	0.739868042	0.740270259	0.260131958	0.259729741
30	0	0	0	0	0	0	0.711186685	0.732230536	0.288813315	0.267769464
45	0	0	0	0	0	0	0.669801641	0.699355308	0.330198359	0.300644692
60	0	0	0	0	0	0	0.655221753	0.667929151	0.344778247	0.332070849
