t [min]	4P		3P		2P		1P		0P	
0	0	0	0	0	1	1	0	0	0	0
5	0	0	0	0	0.280817653	0.243547178	0.611320205	0.723070099	0.107862143	0.033382723
10	0	0	0	0	0.120482185	0.088837779	0.702600518	0.756075426	0.176917297	0.155086795
15	0	0	0	0	0.063466363	0.04617296	0.737666169	0.726925757	0.198867467	0.226901282
20	0	0	0	0	0.044211516	0.04839479	0.704544704	0.691483912	0.25124378	0.260121298
30	0	0	0	0	0.018798595	0.019489894	0.679926528	0.65166832	0.301274877	0.328841786
45	0	0	0	0	0.014554237	0.007101828	0.639890981	0.671507892	0.345554781	0.32139028
60	0	0	0	0	0	0	0.608266973	0.643080529	0.391733027	0.356919471
