t [min]	4P		3P		2P		1P		0P	
0	0	0	1	1	0	0	0	0	0	0
5	0	0	0.379961617	0.393147548	0.314416708	0.261800233	0.305621675	0.345052219	0	0
10	0	0	0.144487075	0.120810821	0.211101439	0.190045532	0.52743353	0.591216038	0.116977956	0.097927609
15	0	0	0.062708162	0.033204458	0.094757243	0.090477863	0.704456964	0.710005528	0.138077631	0.166312151
20	0	0	0.037789724	0.027691262	0.059777429	0.051927166	0.730628397	0.738218509	0.17180445	0.182163063
30	0	0	0	0	0.020306301	0	0.663737889	0.812455514	0.31595581	0.187544486
45	0	0	0	0	0	0	0.648090892	0.801337768	0.351909108	0.198662232
60	0	0	0	0	0	0	0.665030535	0.740363158	0.334969465	0.259636842
