t [min]	4P		3P		2P		1P		0P	
0	0	0	0	0	1	1	0	0	0	0
5	0	0	0	0	0.360086058	0.379000336	0.593558574	0.569246071	0.046355368	0.051753593
10	0	0	0	0	0.104847035	0.076910933	0.796650407	0.761850182	0.098502558	0.161238885
15	0	0	0	0	0.036390809	0.032865812	0.755201281	0.761591745	0.20840791	0.313964811
20	0	0	0	0	0.016593601	0	0.675825583	0.764329146	0.307580815	0.235670854
30	0	0	0	0	0	0	0.693376945	0.737358253	0.306623055	0.262641747
45	0	0	0	0	0	0	0.605405641	0.679652928	0.394594359	0.320347072
60	0	0	0	0	0	0	0.656231899	0.633702091	0.343768101	0.366297909
