t [min]	4P		3P		2P		1P		0P	
0	0	0	0	0	1	1	0	0	0	0
5	0	0	0	0	0.207833117	0.22359533	0.592462115	0.566584156	0.199704767	0.209820514
10	0	0	0	0	0.058791898	0.066013188	0.557104639	0.596649616	0.384103463	0.337337196
15	0	0	0	0	0	0	0.620917468	0.593694945	0.379082532	0.406305055
20	0	0	0	0	0	0	0.570194485	0.581365192	0.429805515	0.418634808
30	0	0	0	0	0	0	0.551988166	0.521400588	0.448011834	0.478599412
45	0	0	0	0	0	0	0.543184194	0.493672149	0.456815806	0.506327851
60	0	0	0	0	0	0	0.532692467	0.497195777	0.467307533	0.502804223
