t [min]	4P			3P			2P			1P			0P		
0	0.494992	0.389273	0.449155	0.505008	0.610727	0.550845	0	0	0	0	0	0	0	0	0
5	0.303751	0.155008	0.089019	0.150757	0.237167	0.282943	0.336801	0.279135	0.32023	0.208691	0.32869	0.307807	0	0	0
10	0.112151	0.012093	0.032452	0.09053	0.054142	0.070207	0.373503	0.16119	0.200868	0.398445	0.726228	0.633046	0.025371	0.046347	0.063427
15	0.028342	0	0	0.049935	0	0	0.29037	0.062973	0.099514	0.543008	0.80887	0.743531	0.088345	0.128157	0.156954
20	0	0	0	0	0	0	0.263558	0.028193	0.041175	0.64507	0.744555	0.741938	0.091372	0.227252	0.216887
30	0	0	0	0	0	0	0.138439	0	0	0.697405	0.650958	0.64207	0.164156	0.349042	0.35793
45	0	0	0	0	0	0	0.070497	0	0	0.67864	0.546324	0.537787	0.250864	0.453676	0.462213
60	0	0	0	0	0	0	0.028318	0	0	0.618484	0.526281	0.457933	0.353198	0.473719	0.542067
