t [min]	4P		3P		2P		1P		0P	
0	0	0	1	1	0	0	0	0	0	0
5	0	0	0.278690237	0.358272645	0.23161895	0.101519692	0.461470277	0.522515181	0.028220536	0.017692482
10	0	0	0.104367443	0.058845999	0.065881034	0.042101795	0.734321535	0.862735911	0.095429988	0.036316296
15	0	0	0.029703051	0	0.020031236	0	0.790760625	0.881202658	0.159505088	0.118797342
20	0	0	0	0	0	0	0.803035473	0.87716158	0.196964527	0.12283842
30	0	0	0	0	0	0	0.744810942	0.822960435	0.255189058	0.177039565
45	0	0	0	0	0	0	0.721192663	0.797885937	0.278807337	0.202114063
60	0	0	0	0	0	0	0.712760809	0.737714014	0.287239191	0.262285986
