t [min]	4P		3P		2P		1P		0P	
0	0	0	1	1	0	0	0	0	0	0
5	0	0	0.286195093	0.294111232	0.255046559	0.1357179	0.426622206	0.570170868	0.032136141	0
10	0	0	0.127948393	0.025455122	0.096268289	0	0.694331844	0.928544741	0.081451473	0.046000137
15	0	0	0.043240015	0	0.026630743	0	0.768889219	0.928393728	0.161240023	0.071606272
20	0	0	0	0	0	0	0.79306606	0.884745218	0.20693394	0.115254782
30	0	0	0	0	0	0	0.748775826	0.868815897	0.251224174	0.131184103
45	0	0	0	0	0	0	0.719074799	0.791300607	0.280925201	0.208699393
60	0	0	0	0	0	0	0.703147861	0.831838875	0.296852139	0.168161125
