Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,0.610727,0.389273,0,0,0,0,0,0,1.22E-05,7.80E-06,0.00002,0,0,0,0.0000001,0
300,0,0.32869,0.279135,0.237167,0.155008,0,0,0,0,0,0,1.22E-05,7.80E-06,0.00002,0,0,0,0.0000001,0
600,0.046347,0.726228,0.16119,0.054142,0.012093,0,0,0,0,0,0,1.22E-05,7.80E-06,0.00002,0,0,0,0.0000001,0
900,0.128157,0.80887,0.062973,0,0,0,0,0,0,0,0,1.22E-05,7.80E-06,0.00002,0,0,0,0.0000001,0
1200,0.227252,0.744555,0.028193,0,0,0,0,0,0,0,0,1.22E-05,7.80E-06,0.00002,0,0,0,0.0000001,0
1800,0.349042,0.650958,0,0,0,0,0,0,0,0,0,1.22E-05,7.80E-06,0.00002,0,0,0,0.0000001,0
2700,0.453676,0.546324,0,0,0,0,0,0,0,0,0,1.22E-05,7.80E-06,0.00002,0,0,0,0.0000001,0
3600,0.473719,0.526281,0,0,0,0,0,0,0,0,0,1.22E-05,7.80E-06,0.00002,0,0,0,0.0000001,0
