Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,1,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
300,0.051753593,0.569246071,0.379000336,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
600,0.161238885,0.761850182,0.076910933,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
900,0.313964811,0.761591745,0.032865812,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
1200,0.235670854,0.764329146,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
1800,0.262641747,0.737358253,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
2700,0.320347072,0.679652928,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
3600,0.366297909,0.633702091,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
