Time,0P,A,AB,ABC,D,AD,ABD,ABCD,3P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,3P_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,0,1,0,0,0,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
900,0,0,0,0,0.5278106,0.2085319,0.21276535,0.05089215,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
1800,0,0,0,0,0.3417843,0.1319975,0.3902638,0.1359544,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
3600,0,0,0,0,0.0918353,0.0332802,0.3901552,0.4847293,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
