Time,0P,A,AB,ABC,D,AD,ABD,ABCD,3P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,3P_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,0,1,0,0,0,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
900,0,0,0,0,0.3504411,0.3871865,0.1561354,0.106237,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
1800,0,0,0,0,0.1927827,0.3764848,0.1420978,0.2886347,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
3600,0,0,0,0,0.0172324,0.2600221,0.3949342,0.3278113,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
