Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,1,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
300,0,0.345052219,0.261800233,0.393147548,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
600,0.097927609,0.591216038,0.190045532,0.120810821,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
900,0.166312151,0.710005528,0.090477863,0.033204458,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
1200,0.182163063,0.738218509,0.051927166,0.027691262,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
1800,0.187544486,0.812455514,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
2700,0.198662232,0.801337768,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
3600,0.259636842,0.740363158,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
