Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,1,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
300,0.046355368,0.593558574,0.360086058,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
600,0.098502558,0.796650407,0.104847035,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
900,0.20840791,0.755201281,0.036390809,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
1200,0.307580815,0.675825583,0.016593601,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
1800,0.306623055,0.693376945,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
2700,0.394594359,0.605405641,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
3600,0.343768101,0.656231899,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0.0000001,0,0
