Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,1,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
300,0,0.317345525,0.289880116,0.392774359,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
600,0.053351875,0.577086142,0.273328542,0.096233441,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
900,0.100722844,0.731789876,0.135225045,0.032262235,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
1200,0.168094051,0.775819416,0.056086533,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
1800,0.208598276,0.791401724,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
2700,0.243390881,0.756609119,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
3600,0.298772117,0.701227883,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
