Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,1,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
300,0.032136141,0.426622206,0.255046559,0.286195093,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
600,0.081451473,0.694331844,0.096268289,0.127948393,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
900,0.161240023,0.768889219,0.026630743,0.043240015,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
1200,0.20693394,0.79306606,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
1800,0.251224174,0.748775826,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
2700,0.280925201,0.719074799,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
3600,0.296852139,0.703147861,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
