Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,1,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
300,0,0.305621675,0.314416708,0.379961617,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
600,0.116977956,0.52743353,0.211101439,0.144487075,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
900,0.138077631,0.704456964,0.094757243,0.062708162,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
1200,0.17180445,0.730628397,0.059777429,0.037789724,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
1800,0.31595581,0.663737889,0.020306301,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
2700,0.351909108,0.648090892,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
3600,0.334969465,0.665030535,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0.0000001,0,0
