Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,1,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
300,0.209820514,0.566584156,0.22359533,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
600,0.337337196,0.596649616,0.066013188,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
900,0.406305055,0.593694945,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
1200,0.418634808,0.581365192,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
1800,0.478599412,0.521400588,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
2700,0.506327851,0.493672149,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
3600,0.502804223,0.497195777,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
