Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,0.550845,0.449155,0,0,0,0,0,0,1.10E-05,9.00E-06,0.00002,0,0,0,0.0000001,0
300,0,0.307807,0.32023,0.282943,0.089019,0,0,0,0,0,0,1.10E-05,9.00E-06,0.00002,0,0,0,0.0000001,0
600,0.063427,0.633046,0.200868,0.070207,0.032452,0,0,0,0,0,0,1.10E-05,9.00E-06,0.00002,0,0,0,0.0000001,0
900,0.156954,0.743531,0.099514,0,0,0,0,0,0,0,0,1.10E-05,9.00E-06,0.00002,0,0,0,0.0000001,0
1200,0.216887,0.741938,0.041175,0,0,0,0,0,0,0,0,1.10E-05,9.00E-06,0.00002,0,0,0,0.0000001,0
1800,0.35793,0.64207,0,0,0,0,0,0,0,0,0,1.10E-05,9.00E-06,0.00002,0,0,0,0.0000001,0
2700,0.462213,0.537787,0,0,0,0,0,0,0,0,0,1.10E-05,9.00E-06,0.00002,0,0,0,0.0000001,0
3600,0.542067,0.457933,0,0,0,0,0,0,0,0,0,1.10E-05,9.00E-06,0.00002,0,0,0,0.0000001,0
