Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,1,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
300,0,0.263217104,0.349441151,0.387341745,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
600,0.047011856,0.464134657,0.3022524,0.186601087,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
900,0.10156248,0.670029858,0.171599337,0.056808326,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
1200,0.196585791,0.695754175,0.087226137,0.020433898,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
1800,0.266031684,0.692803055,0.041165261,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
2700,0.296174164,0.703825836,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
3600,0.360188453,0.639811547,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0.0000001,0,0
