Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,1,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
300,0,0.570170868,0.1357179,0.294111232,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
600,0.046000137,0.928544741,0,0.025455122,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
900,0.071606272,0.928393728,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
1200,0.115254782,0.884745218,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
1800,0.131184103,0.868815897,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
2700,0.208699393,0.791300607,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
3600,0.168161125,0.831838875,0,0,0,0,0,0,0,0,0,0.00002,0,0.00002,0,0,0,0.0000001,0
