Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,1,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
300,0.112652866,0.61162885,0.275718284,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
600,0.202333357,0.744085798,0.053580845,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
900,0.226876896,0.759544852,0.013578252,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
1200,0.260131958,0.739868042,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
1800,0.288813315,0.711186685,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
2700,0.330198359,0.669801641,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
3600,0.344778247,0.655221753,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
