Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,1,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
300,0.030627494,0.637722189,0.331650317,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
600,0.140341864,0.795864498,0.063793638,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
900,0.174850928,0.813190699,0.011958372,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
1200,0.259729741,0.740270259,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
1800,0.267769464,0.732230536,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
2700,0.300644692,0.699355308,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
3600,0.332070849,0.667929151,0,0,0,0,0,0.00002,0,0,0,0,0,0.00002,0,0,0,0.0000001,0
