Time,0P,A,AB,ABC,D,AD,ABD,ABCD,3P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,3P_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,0,1,0,0,0,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
900,0,0,0,0,0.5183544,0.42319207,0.05845353,0,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
1800,0,0,0,0,0.2392156,0.5794687,0.16310931,0.01820639,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
3600,0,0,0,0,0.0127967,0.4615981,0.3333511,0.1922541,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
