Time,0P,A,AB,ABC,D,AD,ABD,ABCD,3P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,3P_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,0,1,0,0,0,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
900,0,0,0,0,0.5557222,0.0333953,0.39029657,0.02058593,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
1800,0,0,0,0,0.1697928,0.2523317,0.52732816,0.05054734,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
3600,0,0,0,0,0.0641659,-0.0066291,0.8663925,0.0760707,,0,0,0,0,0.00004,0,0,0,0,0.00004,2.46E-09,0,0,0,0
