Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,1,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
300,0.028220536,0.461470277,0.23161895,0.278690237,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
600,0.095429988,0.734321535,0.065881034,0.104367443,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
900,0.159505088,0.790760625,0.020031236,0.029703051,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
1200,0.196964527,0.803035473,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
1800,0.255189058,0.744810942,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
2700,0.278807337,0.721192663,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
3600,0.287239191,0.712760809,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
