Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,1,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
300,0.033382723,0.723070099,0.243547178,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
600,0.155086795,0.756075426,0.088837779,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
900,0.226901282,0.726925757,0.04617296,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
1200,0.260121298,0.691483912,0.04839479,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
1800,0.328841786,0.65166832,0.019489894,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
2700,0.32139028,0.671507892,0.007101828,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
3600,0.356919471,0.643080529,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
