Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,1,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
300,0.199704767,0.592462115,0.207833117,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
600,0.384103463,0.557104639,0.058791898,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
900,0.379082532,0.620917468,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
1200,0.429805515,0.570194485,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
1800,0.448011834,0.551988166,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
2700,0.456815806,0.543184194,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
3600,0.467307533,0.532692467,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0.0000001,0,0
