Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,0.614585,0.385415,0,0,0,0,0,0,1.23E-05,7.70E-06,0.00002,0,0,0.0000001,0,0
300,0,0.338135,0.296564,0.239763,0.125539,0,0,0,0,0,0,1.23E-05,7.70E-06,0.00002,0,0,0.0000001,0,0
600,0.048917,0.660665,0.198623,0.063805,0.027991,0,0,0,0,0,0,1.23E-05,7.70E-06,0.00002,0,0,0.0000001,0,0
900,0.098751,0.839092,0.062157,0,0,0,0,0,0,0,0,1.23E-05,7.70E-06,0.00002,0,0,0.0000001,0,0
1200,0.140937,0.843006,0.016057,0,0,0,0,0,0,0,0,1.23E-05,7.70E-06,0.00002,0,0,0.0000001,0,0
1800,0.223251,0.776749,0,0,0,0,0,0,0,0,0,1.23E-05,7.70E-06,0.00002,0,0,0.0000001,0,0
2700,0.31554,0.68446,0,0,0,0,0,0,0,0,0,1.23E-05,7.70E-06,0.00002,0,0,0.0000001,0,0
3600,0.343175,0.656825,0,0,0,0,0,0,0,0,0,1.23E-05,7.70E-06,0.00002,0,0,0.0000001,0,0
