Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,0.518066,0.481934,0,0,0,0,0,0,0.00001035,0.00000965,0.00002,0,0,0.0000001,0,0
300,0,0.493957,0.30673,0.114349,0.084964,0,0,0,0,0,0,0.00001035,0.00000965,0.00002,0,0,0.0000001,0,0
600,0.094853,0.781612,0.123535,0,0,0,0,0,0,0,0,0.00001035,0.00000965,0.00002,0,0,0.0000001,0,0
900,0.16876,0.83124,0,0,0,0,0,0,0,0,0,0.00001035,0.00000965,0.00002,0,0,0.0000001,0,0
1200,0.224187,0.775813,0,0,0,0,0,0,0,0,0,0.00001035,0.00000965,0.00002,0,0,0.0000001,0,0
1800,0.255095,0.744905,0,0,0,0,0,0,0,0,0,0.00001035,0.00000965,0.00002,0,0,0.0000001,0,0
2700,0.360769,0.639231,0,0,0,0,0,0,0,0,0,0.00001035,0.00000965,0.00002,0,0,0.0000001,0,0
3600,0.432555,0.567445,0,0,0,0,0,0,0,0,0,0.00001035,0.00000965,0.00002,0,0,0.0000001,0,0
