Time,0P,A,AB,ABC,D,AD,ABD,ABCD,3P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,3P_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,1.000,0.000,0.000,0.000,0,0,0,0,0.000,0.00004,0,0,0,0,0,0,0,0,0.00004,2.46E-09,0,0,0,0
900,0.297,0.246,0.351,0.106,0,0,0,0,0.106,0.00004,0,0,0,0,0,0,0,0,0.00004,2.46E-09,0,0,0,0
1800,0.025,0.115,0.481,0.379,0,0,0,0,0.379,0.00004,0,0,0,0,0,0,0,0,0.00004,2.46E-09,0,0,0,0
3600,0.000,0.000,0.262,0.738,0,0,0,0,0.738,0.00004,0,0,0,0,0,0,0,0,0.00004,2.46E-09,0,0,0,0
