Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,1,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
300,0.107862143,0.611320205,0.280817653,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
600,0.176917297,0.702600518,0.120482185,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
900,0.198867467,0.737666169,0.063466363,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
1200,0.25124378,0.704544704,0.044211516,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
1800,0.301274877,0.679926528,0.018798595,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
2700,0.345554781,0.639890981,0.014554237,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
3600,0.391733027,0.608266973,0,0,0,0,0,0,0,0,0.00002,0,0,0.00002,0,0,0,0.0000001,0
