Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,0.505008,0.494992,0,0,0,0,0,0,1.01E-05,9.90E-06,0.00002,0,0,0,0.0000001,0
300,0,0.208691,0.336801,0.150757,0.303751,0,0,0,0,0,0,1.01E-05,9.90E-06,0.00002,0,0,0,0.0000001,0
600,0.025371,0.398445,0.373503,0.09053,0.112151,0,0,0,0,0,0,1.01E-05,9.90E-06,0.00002,0,0,0,0.0000001,0
900,0.088345,0.543008,0.29037,0.049935,0.028342,0,0,0,0,0,0,1.01E-05,9.90E-06,0.00002,0,0,0,0.0000001,0
1200,0.091372,0.64507,0.263558,0,0,0,0,0,0,0,0,1.01E-05,9.90E-06,0.00002,0,0,0,0.0000001,0
1800,0.164156,0.697405,0.138439,0,0,0,0,0,0,0,0,1.01E-05,9.90E-06,0.00002,0,0,0,0.0000001,0
2700,0.250864,0.67864,0.070497,0,0,0,0,0,0,0,0,1.01E-05,9.90E-06,0.00002,0,0,0,0.0000001,0
3600,0.353198,0.618484,0.028318,0,0,0,0,0,0,0,0,1.01E-05,9.90E-06,0.00002,0,0,0,0.0000001,0
