Time,0P,1P,2P,3P,4P,0P_IC,A_IC,AB_IC,ABC_IC,D_IC,AD_IC,ABD_IC,ABCD_IC,TOT_IC,PKA_IC,RSK2_IC,PP1_IC,PP2A_IC,PKC_IC
0,0,0,0,1,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
300,0.017692482,0.522515181,0.101519692,0.358272645,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
600,0.036316296,0.862735911,0.042101795,0.058845999,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
900,0.118797342,0.881202658,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
1200,0.12283842,0.87716158,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
1800,0.177039565,0.822960435,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
2700,0.202114063,0.797885937,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
3600,0.262285986,0.737714014,0,0,0,0,0,0,0.00002,0,0,0,0,0.00002,0,0,0,0.0000001,0
